award_year,category,prize,prize_share,laureate_id,laureate_type,full_name,birth_year,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_year,death_city,death_country
2017,Chemistry,The Nobel Prize in Chemistry 2017,3-Jan,944,Individual,Jacques Dubochet,1942,Aigle,Switzerland,Male,University of Lausanne,Lausanne,Switzerland,null,null,null
1991,Medicine,The Nobel Prize in Physiology or Medicine 1991,2-Jan,445,Individual,Bert Sakmann,1942,Stuttgart,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,null,null,null
2005,Peace,The Nobel Peace Prize 2005,2-Jan,798,Individual,Mohamed ElBaradei,1942,Cairo,Egypt,Male,null,null,null,null,null,null
1995,Medicine,The Nobel Prize in Physiology or Medicine 1995,3-Jan,453,Individual,Christiane Nüsslein-Volhard,1942,Magdeburg,Germany,Female,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Federal Republic of Germany,null,null,null
2011,Economics,The Sveriges Riksbank Prize in Economic Sciences 2011,2-Jan,873,Individual,Christopher A. Sims,1942,"""Washington, DC""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2003,Economics,The Sveriges Riksbank Prize in Economic Sciences 2003,2-Jan,771,Individual,Robert F. Engle III,1942,"""Syracuse, NY""",United States of America,Male,New York University,"""New York, NY""",United States of America,null,null,null
2022,Physics,The Nobel Prize in Physics 2022,3-Jan,1013,Individual,John Clauser,1942,"""Pasadena, CA""",United States of America,Male,J.F. Clauser & Assoc.,"""Walnut Creek, CA""",United States of America,null,null,null
2019,Literature,The Nobel Prize in Literature 2019,1-Jan,980,Individual,Peter Handke,1942,Griffen,Austria,Male,null,null,null,null,null,null
1996,Chemistry,The Nobel Prize in Chemistry 1996,3-Jan,286,Individual,Richard E. Smalley,1943,"""Akron, OH""",United States of America,Male,Rice University,"""Houston, TX""",United States of America,2005,"""Houston, TX""",United States of America
2011,Medicine,The Nobel Prize in Physiology or Medicine 2011,2-Jan,863,Individual,Ralph M. Steinman,1943,Montreal,Canada,Male,Rockefeller University,"""New York, NY""",United States of America,2011,null,null
2020,Literature,The Nobel Prize in Literature 2020,1-Jan,993,Individual,Louise Glück,1943,"""New York, NY""",United States of America,Female,null,null,null,2023,"""Cambridge, MA""",United States of America
2001,Economics,The Sveriges Riksbank Prize in Economic Sciences 2001,3-Jan,745,Individual,A. Michael Spence,1943,"""Montclair, NJ""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2001,Economics,The Sveriges Riksbank Prize in Economic Sciences 2001,3-Jan,746,Individual,Joseph E. Stiglitz,1943,"""Gary, IN""",United States of America,Male,Columbia University,"""New York, NY""",United States of America,null,null,null
2001,Medicine,The Nobel Prize in Physiology or Medicine 2001,3-Jan,736,Individual,Tim Hunt,1943,Neston,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom,null,null,null
1995,Chemistry,The Nobel Prize in Chemistry 1995,3-Jan,282,Individual,Mario J. Molina,1943,Mexico City,Mexico,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2012,Chemistry,The Nobel Prize in Chemistry 2012,2-Jan,878,Individual,Robert J. Lefkowitz,1943,"""New York, NY""",United States of America,Male,Howard Hughes Medical Institute,null,null,null,null,null
1976,Peace,The Nobel Peace Prize 1976,2-Jan,535,Individual,Betty Williams,1943,Belfast,Northern Ireland,Female,null,null,null,null,null,null
2016,Physics,The Nobel Prize in Physics 2016,4-Jan,930,Individual,J. Michael Kosterlitz,1943,Aberdeen,United Kingdom,Male,Brown University,"""Providence, RI""",United States of America,null,null,null
1985,Physics,The Nobel Prize in Physics 1985,1-Jan,126,Individual,Klaus von Klitzing,1943,Schroda,German-occupied Poland (Poland),Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany,null,null,null
2011,Economics,The Sveriges Riksbank Prize in Economic Sciences 2011,2-Jan,872,Individual,Thomas J. Sargent,1943,"""Pasadena, CA""",United States of America,Male,New York University,"""New York, NY""",United States of America,null,null,null
2015,Physics,The Nobel Prize in Physics 2015,2-Jan,920,Individual,Arthur B. McDonald,1943,Sydney,Canada,Male,Queen's University,Kingston,Canada,null,null,null
1993,Medicine,The Nobel Prize in Physiology or Medicine 1993,2-Jan,448,Individual,Richard J. Roberts,1943,Derby,United Kingdom,Male,New England Biolabs,"""Beverly, MA""",United States of America,null,null,null
1983,Peace,The Nobel Peace Prize 1983,1-Jan,545,Individual,Lech Walesa,1943,Popowo,Poland,Male,null,null,null,null,null,null
1988,Chemistry,The Nobel Prize in Chemistry 1988,3-Jan,270,Individual,Johann Deisenhofer,1943,Zusamaltheim,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"""Dallas, TX""",United States of America,null,null,null
2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,2-Jan,786,Individual,Finn E. Kydland,1943,Gjesdal,Norway,Male,Carnegie Mellon University,"""Pittsburgh, PA""",United States of America,null,null,null
1996,Medicine,The Nobel Prize in Physiology or Medicine 1996,2-Jan,456,Individual,Rolf M. Zinkernagel,1944,Basel,Switzerland,Male,"""University of Zurich, Institute of Experimental Immunology""",Zurich,Switzerland,null,null,null
1976,Peace,The Nobel Peace Prize 1976,2-Jan,536,Individual,Mairead Corrigan,1944,Belfast,Northern Ireland,Female,null,null,null,null,null,null
2012,Physics,The Nobel Prize in Physics 2012,2-Jan,877,Individual,David J. Wineland,1944,"""Milwaukee, WI""",United States of America,Male,National Institute of Standards and Technology,"""Boulder, CO""",United States of America,null,null,null
2017,Medicine,The Nobel Prize in Physiology or Medicine 2017,3-Jan,939,Individual,Michael Rosbash,1944,"""Kansas City, MO""",United States of America,Male,Brandeis University,"""Waltham, MA""",United States of America,null,null,null
1991,Medicine,The Nobel Prize in Physiology or Medicine 1991,2-Jan,444,Individual,Erwin Neher,1944,Landsberg,Germany,Male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Federal Republic of Germany,null,null,null
2008,Physics,The Nobel Prize in Physics 2008,4-Jan,827,Individual,Makoto Kobayashi,1944,Nagoya,Japan,Male,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,null,null,null
2000,Economics,The Sveriges Riksbank Prize in Economic Sciences 2000,2-Jan,732,Individual,James J. Heckman,1944,"""Chicago, IL""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,null,null,null
1993,Medicine,The Nobel Prize in Physiology or Medicine 1993,2-Jan,449,Individual,Phillip A. Sharp,1944,"""Falmouth, KY""",United States of America,Male,"""Massachusetts Institute of Technology (MIT), Center for Cancer Research""","""Cambridge, MA""",United States of America,null,null,null
2018,Physics,The Nobel Prize in Physics 2018,4-Jan,961,Individual,Gérard Mourou,1944,Albertville,France,Male,École Polytechnique,Palaiseau,France,null,null,null
1997,Economics,The Sveriges Riksbank Prize in Economic Sciences 1997,2-Jan,717,Individual,Robert C. Merton,1944,"""New York, NY""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
2012,Physics,The Nobel Prize in Physics 2012,2-Jan,876,Individual,Serge Haroche,1944,Casablanca,Morocco,Male,Collège de France,Paris,France,null,null,null
1998,Peace,The Nobel Peace Prize 1998,2-Jan,567,Individual,David Trimble,1944,Belfast,Northern Ireland,Male,null,null,null,null,null,null
2016,Chemistry,The Nobel Prize in Chemistry 2016,3-Jan,931,Individual,Jean-Pierre Sauvage,1944,Paris,France,Male,University of Strasbourg,Strasbourg,France,null,null,null
1993,Chemistry,The Nobel Prize in Chemistry 1993,2-Jan,278,Individual,Kary B. Mullis,1944,"""Lenoir, NC""",United States of America,Male,null,"""La Jolla, CA""",United States of America,null,null,null
2005,Chemistry,The Nobel Prize in Chemistry 2005,3-Jan,796,Individual,Richard R. Schrock,1945,"""Berne, IN""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2016,Medicine,The Nobel Prize in Physiology or Medicine 2016,1-Jan,927,Individual,Yoshinori Ohsumi,1945,Fukuoka,Japan,Male,Tokyo Institute of Technology,Tokyo,Japan,null,null,null
2006,Physics,The Nobel Prize in Physics 2006,2-Jan,805,Individual,George F. Smoot,1945,"""Yukon, FL""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,null,null,null
2017,Medicine,The Nobel Prize in Physiology or Medicine 2017,3-Jan,938,Individual,Jeffrey C. Hall,1945,"""New York, NY""",United States of America,Male,University of Maine,"""Maine, ME""",United States of America,null,null,null
2022,Physics,The Nobel Prize in Physics 2022,3-Jan,1014,Individual,Anton Zeilinger,1945,Ried im Innkreis,Austria,Male,University of Vienna,Vienna,Austria,null,null,null
1991,Peace,The Nobel Peace Prize 1991,1-Jan,553,Organization,Aung San Suu Kyi,1945,Rangoon (Yangon),Burma (Myanmar),Female,null,null,null,null,null,null
2017,Chemistry,The Nobel Prize in Chemistry 2017,3-Jan,946,Individual,Richard Henderson,1945,Edinburgh,Scotland,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,null,null,null
2014,Literature,The Nobel Prize in Literature 2014,1-Jan,912,Individual,Patrick Modiano,1945,Paris,France,Male,null,null,null,null,null,null
1996,Physics,The Nobel Prize in Physics 1996,3-Jan,150,Individual,Douglas D. Osheroff,1945,"""Aberdeen, WA""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2017,Economics,The Sveriges Riksbank Prize in Economic Sciences 2017,1-Jan,949,Individual,Richard H. Thaler,1945,"""East Orange, NJ""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,null,null,null
2015,Economics,The Sveriges Riksbank Prize in Economic Sciences 2015,1-Jan,926,Individual,Angus Deaton,1945,Edinburgh,United Kingdom,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,3-Jan,430,Individual,Georges J.F. Köhler,1946,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,1995,Freiburg im Breisgau,Germany
1999,Chemistry,The Nobel Prize in Chemistry 1999,1-Jan,292,Individual,Ahmed H. Zewail,1946,Damanhur,Egypt,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,2016,null,null
2013,Economics,The Sveriges Riksbank Prize in Economic Sciences 2013,3-Jan,896,Individual,Robert J. Shiller,1946,"""Detroit, MI""",United States of America,Male,Yale University,"""New Haven, CT""",United States of America,null,null,null
2015,Chemistry,The Nobel Prize in Chemistry 2015,3-Jan,922,Individual,Paul Modrich,1946,"""Raton, NM""",United States of America,Male,Howard Hughes Medical Institute,"""Durham, NC""",United States of America,null,null,null
2004,Medicine,The Nobel Prize in Physiology or Medicine 2004,2-Jan,774,Individual,Richard Axel,1946,"""New York, NY""",United States of America,Male,Columbia University,"""New York, NY""",United States of America,null,null,null
1999,Physics,The Nobel Prize in Physics 1999,2-Jan,158,Individual,Gerardus 't Hooft,1946,Den Helder,Netherlands,Male,Utrecht University,Utrecht,Netherlands,null,null,null
2006,Physics,The Nobel Prize in Physics 2006,2-Jan,804,Individual,John C. Mather,1946,"""Roanoke, VA""",United States of America,Male,NASA Goddard Space Flight Center,"""Greenbelt, MD""",United States of America,null,null,null
2015,Chemistry,The Nobel Prize in Chemistry 2015,3-Jan,923,Individual,Aziz Sancar,1946,Savur,Turkey,Male,University of North Carolina,"""Chapel Hill, NC""",United States of America,null,null,null
2004,Literature,The Nobel Prize in Literature 2004,1-Jan,782,Individual,Elfriede Jelinek,1946,Mürzzuschlag,Austria,Female,null,null,null,null,null,null
2008,Chemistry,The Nobel Prize in Chemistry 2008,3-Jan,830,Individual,Martin Chalfie,1947,"""Chicago, IL""",United States of America,Male,Columbia University,"""New York, NY""",United States of America,null,null,null
2004,Medicine,The Nobel Prize in Physiology or Medicine 2004,2-Jan,775,Individual,Linda B. Buck,1947,"""Seattle, WA""",United States of America,Female,Fred Hutchinson Cancer Research Center,"""Seattle, WA""",United States of America,null,null,null
2006,Chemistry,The Nobel Prize in Chemistry 2006,1-Jan,806,Individual,Roger D. Kornberg,1947,"""St. Louis, MO""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2002,Medicine,The Nobel Prize in Physiology or Medicine 2002,3-Jan,751,Individual,H. Robert Horvitz,1947,"""Chicago, IL""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2013,Chemistry,The Nobel Prize in Chemistry 2013,3-Jan,890,Individual,Michael Levitt,1947,Pretoria,South Africa,Male,Stanford University School of Medicine,"""Stanford, CA""",United States of America,null,null,null
1995,Medicine,The Nobel Prize in Physiology or Medicine 1995,3-Jan,454,Individual,Eric F. Wieschaus,1947,"""South Bend, IN""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2022,Physics,The Nobel Prize in Physics 2022,3-Jan,1012,Individual,Alain Aspect,1947,Agen,France,Male,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,null,null,null
2003,Peace,The Nobel Peace Prize 2003,1-Jan,773,Individual,Shirin Ebadi,1947,Hamadan,Iran,Female,null,null,null,null,null,null
1986,Physics,The Nobel Prize in Physics 1986,4-Jan,128,Individual,Gerd Binnig,1947,Frankfurt-on-the-Main,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,null,null,null
2008,Medicine,The Nobel Prize in Physiology or Medicine 2008,4-Jan,824,Individual,Françoise Barré-Sinoussi,1947,Paris,France,Female,"""Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur""",Paris,France,null,null,null
2004,Chemistry,The Nobel Prize in Chemistry 2004,3-Jan,779,Individual,Aaron Ciechanover,1947,Haifa,British Protectorate of Palestine (Israel),Male,Technion - Israel Institute of Technology,Haifa,Israel,null,null,null
1989,Chemistry,The Nobel Prize in Chemistry 1989,2-Jan,274,Individual,Thomas R. Cech,1947,"""Chicago, IL""",United States of America,Male,University of Colorado,"""Boulder, CO""",United States of America,null,null,null
2019,Chemistry,The Nobel Prize in Chemistry 2019,3-Jan,978,Individual,Akira Yoshino,1948,Suita,Japan,Male,Asahi Kasei Corporation,Tokyo,Japan,null,null,null
1996,Peace,The Nobel Peace Prize 1996,2-Jan,562,Individual,Carlos Filipe Ximenes Belo,1948,Wailacama,East Timor,Male,null,null,null,null,null,null
2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,3-Jan,858,Individual,Christopher A. Pissarides,1948,Nicosia,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom,null,null,null
1997,Physics,The Nobel Prize in Physics 1997,3-Jan,152,Individual,Steven Chu,1948,"""St. Louis, MO""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2007,Peace,The Nobel Peace Prize 2007,2-Jan,819,Individual,Albert Arnold (Al) Gore Jr.,1948,"""Washington, DC""",United States of America,Male,null,null,null,null,null,null
2020,Economics,The Sveriges Riksbank Prize in Economic Sciences 2020,2-Jan,995,Individual,Paul Milgrom,1948,"""Detroit, MI""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2015,Literature,The Nobel Prize in Literature 2015,1-Jan,924,Individual,Svetlana Alexievich,1948,Ivano-Frankivsk,Ukraine,Female,null,null,null,null,null,null
1988,Chemistry,The Nobel Prize in Chemistry 1988,3-Jan,272,Individual,Hartmut Michel,1948,Ludwigsburg,West Germany (Germany),Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,null,null,null
2021,Physics,The Nobel Prize in Physics 2021,2-Jan,1001,Individual,Giorgio Parisi,1948,Rome,Italy,Male,Sapienza University of Rome,Rome,Italy,null,null,null
2018,Medicine,The Nobel Prize in Physiology or Medicine 2018,2-Jan,958,Individual,James P. Allison,1948,"""Alice, TX""",United States of America,Male,Parker Institute for Cancer Immunotherapy,"""San Francisco, CA""",United States of America,null,null,null
2016,Economics,The Sveriges Riksbank Prize in Economic Sciences 2016,2-Jan,935,Individual,Oliver Hart,1948,London,United Kingdom,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
1997,Physics,The Nobel Prize in Physics 1997,3-Jan,154,Individual,William D. Phillips,1948,"""Wilkes-Barre, PA""",United States of America,Male,National Institute of Standards and Technology,"""Gaithersburg, MD""",United States of America,null,null,null
2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,3-Jan,835,Individual,Elizabeth H. Blackburn,1948,"""Hobart, Tasmania""",Australia,Female,University of California,"""San Francisco, CA""",United States of America,null,null,null
2013,Medicine,The Nobel Prize in Physiology or Medicine 2013,3-Jan,885,Individual,Randy W. Schekman,1948,"""St. Paul, MN""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,null,null,null
2001,Medicine,The Nobel Prize in Physiology or Medicine 2001,3-Jan,737,Individual,Sir Paul M. Nurse,1949,Norwich,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom,null,null,null
2003,Chemistry,The Nobel Prize in Chemistry 2003,2-Jan,769,Individual,Peter Agre,1949,"""Northfield, MN""",United States of America,Male,Johns Hopkins University School of Medicine,"""Baltimore, MD""",United States of America,null,null,null
2017,Medicine,The Nobel Prize in Physiology or Medicine 2017,3-Jan,940,Individual,Michael W. Young,1949,"""Miami, FL""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,null,null,null
1998,Physics,The Nobel Prize in Physics 1998,3-Jan,156,Individual,Horst L. Störmer,1949,Frankfurt-on-the-Main,West Germany (Germany),Male,Columbia University,"""New York, NY""",United States of America,null,null,null
2016,Economics,The Sveriges Riksbank Prize in Economic Sciences 2016,2-Jan,936,Individual,Bengt Holmström,1949,Helsinki,Finland,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2004,Physics,The Nobel Prize in Physics 2004,3-Jan,777,Individual,H. David Politzer,1949,"""New York, NY""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,null,null,null
1996,Peace,The Nobel Peace Prize 1996,2-Jan,563,Individual,José Ramos-Horta,1949,Dili,East Timor,Male,null,null,null,null,null,null
1987,Physics,The Nobel Prize in Physics 1987,2-Jan,130,Individual,J. Georg Bednorz,1950,Neuenkirchen,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,null,null,null
1997,Peace,The Nobel Peace Prize 1997,2-Jan,565,Individual,Jody Williams,1950,"""Putney, VT""",United States of America,Female,null,null,null,null,null,null
1998,Physics,The Nobel Prize in Physics 1998,3-Jan,155,Individual,Robert B. Laughlin,1950,"""Visalia, CA""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2013,Medicine,The Nobel Prize in Physiology or Medicine 2013,3-Jan,884,Individual,James E. Rothman,1950,"""Haverhill, MA""",United States of America,Male,Yale University,"""New Haven, CT""",United States of America,null,null,null
1993,Physics,The Nobel Prize in Physics 1993,2-Jan,143,Individual,Russell A. Hulse,1950,"""New York, NY""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,3-Jan,821,Individual,Eric S. Maskin,1950,"""New York, NY""",United States of America,Male,Institute for Advanced Study,"""Princeton, NJ""",United States of America,null,null,null
2001,Physics,The Nobel Prize in Physics 2001,3-Jan,740,Individual,Carl E. Wieman,1951,"""Corvallis, OR""",United States of America,Male,"""University of Colorado, JILA""","""Boulder, CO""",United States of America,null,null,null
2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,3-Jan,822,Individual,Roger B. Myerson,1951,"""Boston, MA""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,null,null,null
2018,Chemistry,The Nobel Prize in Chemistry 2018,4-Jan,965,Individual,Sir Gregory P. Winter,1951,Leicester,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,null,null,null
2004,Physics,The Nobel Prize in Physics 2004,3-Jan,778,Individual,Frank Wilczek,1951,"""New York, NY""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2016,Chemistry,The Nobel Prize in Chemistry 2016,3-Jan,933,Individual,Bernard L. Feringa,1951,Barger-Compascuum,Netherlands,Male,University of Groningen,Groningen,Netherlands,null,null,null
2016,Peace,The Nobel Peace Prize 2016,1-Jan,934,Individual,Juan Manuel Santos,1951,Bogotá,Colombia,Male,null,null,null,null,null,null
2016,Physics,The Nobel Prize in Physics 2016,4-Jan,929,Individual,F. Duncan M. Haldane,1951,London,United Kingdom,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2005,Medicine,The Nobel Prize in Physiology or Medicine 2005,2-Jan,789,Individual,Barry J. Marshall,1951,Kalgoorlie,Australia,Male,"""NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre""",Nedlands,Australia,null,null,null
2012,Economics,The Sveriges Riksbank Prize in Economic Sciences 2012,2-Jan,882,Individual,Alvin E. Roth,1951,"""New York, NY""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
2008,Chemistry,The Nobel Prize in Chemistry 2008,3-Jan,831,Individual,Roger Y. Tsien,1952,"""New York, NY""",United States of America,Male,University of California,"""San Diego, CA""",United States of America,2016,"""Eugene, OR""",United States of America
2020,Physics,The Nobel Prize in Physics 2020,4-Jan,989,Individual,Reinhard Genzel,1952,Bad Homburg vor der Höhe,Germany,Male,Max Planck Institute for Extraterrestrial Physics,Garching,Germany,null,null,null
2006,Literature,The Nobel Prize in Literature 2006,1-Jan,808,Individual,Orhan Pamuk,1952,Istanbul,Turkey,Male,null,null,null,null,null,null
2020,Medicine,The Nobel Prize in Physiology or Medicine 2020,3-Jan,987,Individual,Charles Rice,1952,"""Sacramento, CA""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,null,null,null
2013,Economics,The Sveriges Riksbank Prize in Economic Sciences 2013,3-Jan,895,Individual,Lars Peter Hansen,1952,"""Urbana, IL""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,null,null,null
2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,3-Jan,837,Individual,Jack W. Szostak,1952,London,United Kingdom,Male,Harvard Medical School,"""Boston, MA""",United States of America,null,null,null
2008,Economics,The Sveriges Riksbank Prize in Economic Sciences 2008,1-Jan,834,Individual,Paul Krugman,1953,"""New York, NY""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2014,Chemistry,The Nobel Prize in Chemistry 2014,3-Jan,911,Individual,William E. Moerner,1953,"""Pleasanton, CA""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2014,Economics,The Sveriges Riksbank Prize in Economic Sciences 2014,1-Jan,915,Individual,Jean Tirole,1953,Troyes,France,Male,Toulouse School of Economics (TSE),Toulouse,France,null,null,null
2009,Literature,The Nobel Prize in Literature 2009,1-Jan,844,Individual,Herta Müller,1953,"""Nitzkydorf, Banat""",Romania,Female,null,null,null,null,null,null
2022,Economics,The Sveriges Riksbank Prize in Economic Sciences 2022,3-Jan,1022,Individual,Douglas Diamond,1953,"""Chicago, IL""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,null,null,null
2022,Economics,The Sveriges Riksbank Prize in Economic Sciences 2022,3-Jan,1021,Individual,Ben Bernanke,1953,"""Augusta, GA""",United States of America,Male,The Brookings Institution,"""Washington, D.C.""",United States of America,null,null,null
2014,Peace,The Nobel Peace Prize 2014,2-Jan,913,Individual,Kailash Satyarthi,1954,Vidisha,India,Male,null,null,null,null,null,null
2019,Medicine,The Nobel Prize in Physiology or Medicine 2019,3-Jan,971,Individual,Peter Ratcliffe,1954,Lancashire,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,null,null,null
2014,Physics,The Nobel Prize in Physics 2014,3-Jan,908,Individual,Shuji Nakamura,1954,Ikata,Japan,Male,University of California,"""Santa Barbara, CA""",United States of America,null,null,null
2017,Literature,The Nobel Prize in Literature 2017,1-Jan,947,Individual,Kazuo Ishiguro,1954,Nagasaki,Japan,Male,null,null,null,null,null,null
2023,Medicine,The Nobel Prize in Physiology or Medicine 2023,2-Jan,1024,Individual,Katalin Karikó,1955,Szolnok,Hungary,Female,Szeged University,Szeged,Hungary,null,null,null
2012,Literature,The Nobel Prize in Literature 2012,1-Jan,880,Individual,Mo Yan,1955,Gaomi,China,Male,null,null,null,null,null,null
2018,Peace,The Nobel Peace Prize 2018,2-Jan,966,Individual,Denis Mukwege,1955,Bukavu,Belgian Congo (now Democratic Republic of the Congo),Male,null,null,null,null,null,null
2022,Medicine,The Nobel Prize in Physiology or Medicine 2022,1-Jan,1011,Individual,Svante Pääbo,1955,Stockholm,Sweden,Male,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany,null,null,null
2022,Economics,The Sveriges Riksbank Prize in Economic Sciences 2022,3-Jan,1023,Individual,Philip Dybvig,1955,"""Gainesville, FL""",United States of America,Male,Washington University,"""St. Louis, MO""",United States of America,null,null,null
2012,Chemistry,The Nobel Prize in Chemistry 2012,2-Jan,879,Individual,Brian K. Kobilka,1955,"""Little Falls, MN""",United States of America,Male,Stanford University School of Medicine,"""Stanford, CA""",United States of America,null,null,null
2021,Medicine,The Nobel Prize in Physiology or Medicine 2021,2-Jan,997,Individual,David Julius,1955,"""New York, NY""",United States of America,Male,University of California,"""San Francisco, CA""",United States of America,null,null,null
2013,Medicine,The Nobel Prize in Physiology or Medicine 2013,3-Jan,886,Individual,Thomas C. Südhof,1955,Göttingen,Germany,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2010,Peace,The Nobel Peace Prize 2010,1-Jan,855,Individual,Liu Xiaobo,1955,null,China,Male,null,null,null,null,null,null
2003,Chemistry,The Nobel Prize in Chemistry 2003,2-Jan,770,Individual,Roderick MacKinnon,1956,"""Burlington, MA""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,null,null,null
2019,Medicine,The Nobel Prize in Physiology or Medicine 2019,3-Jan,972,Individual,Gregg Semenza,1956,"""New York, NY""",United States of America,Male,Johns Hopkins University,"""Baltimore, MD""",United States of America,null,null,null
2018,Chemistry,The Nobel Prize in Chemistry 2018,2-Jan,963,Individual,Frances H. Arnold,1956,"""Pittsburgh, PA""",United States of America,Female,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,null,null,null
2001,Physics,The Nobel Prize in Physics 2001,3-Jan,739,Individual,Wolfgang Ketterle,1957,Heidelberg,West Germany (Germany),Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2019,Medicine,The Nobel Prize in Physiology or Medicine 2019,3-Jan,970,Individual,William Kaelin,1957,"""New York, NY""",United States of America,Male,Harvard Medical School,"""Boston, MA""",United States of America,null,null,null
2011,Medicine,The Nobel Prize in Physiology or Medicine 2011,4-Jan,861,Individual,Bruce A. Beutler,1957,"""Chicago, IL""",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"""Dallas, TX""",United States of America,null,null,null
2023,Physics,The Nobel Prize in Physics 2023,3-Jan,1028,Individual,Anne L’Huillier,1958,Paris,France,Female,Lund University,Lund,Sweden,null,null,null
2010,Physics,The Nobel Prize in Physics 2010,2-Jan,849,Individual,Andre Geim,1958,Sochi,Russia,Male,University of Manchester,Manchester,United Kingdom,null,null,null
1992,Peace,The Nobel Peace Prize 1992,1-Jan,554,Individual,Rigoberta Menchú Tum,1959,Aldea Chimel,Guatemala,Female,null,null,null,null,null,null
2015,Physics,The Nobel Prize in Physics 2015,2-Jan,919,Individual,Takaaki Kajita,1959,Higashimatsuyama,Japan,Male,University of Tokyo,Kashiwa,Japan,null,null,null
2006,Medicine,The Nobel Prize in Physiology or Medicine 2006,2-Jan,802,Individual,Andrew Z. Fire,1959,"""Stanford, CA""",United States of America,Male,Stanford University School of Medicine,"""Stanford, CA""",United States of America,null,null,null
